Date,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Interest_Rate,Currency_Exchange_Rate,Consumer_Confidence_Index,Retail_Sales_Volume
2022-01-31,0.7013320471052757,0.3712766503785111,0.6381731242417673,0.6175141013998968,0.5054506517175588,0.6315307512269555,0.49120820760258055
2022-02-28,0.5165470784886572,0.5431848876421067,0.0,0.9999999999999999,0.4974486210842066,0.18380911474131967,0.6534399717219332
2022-03-31,0.7452670764388138,0.21214257934134878,0.6322555640576938,0.0,0.43904126437567825,0.7926082162373476,0.025955680378921153
2022-04-30,1.0,0.6126442315826138,0.6322555640576938,0.8224970971731922,0.3843402463532595,0.05414309690831853,0.0
2022-05-31,0.4886424160071163,0.3565188517824957,0.3290193614328042,0.8224970971731922,0.11487880925801708,0.5777713673218599,0.5726624944305638
2022-06-30,0.4886471937406946,0.4375653180857383,0.7193763260637202,0.5546181023766202,0.3418807247880231,1.0,0.5027403806220161
2022-07-31,0.4886471937406946,0.35623870047293,0.8464025266007346,0.648005249083887,0.3596649715278639,0.1624425595335257,0.4882895829752014
2022-08-31,0.780114394501021,1.0,0.8161943818701539,0.1510796978394027,0.25479017578478036,0.2741448831160729,0.5181148595960168
2022-09-30,0.42016168979482604,0.5105454590921452,0.27985494127756116,0.5735779713516483,0.40106804159850995,0.44948975283978454,0.19906192306439108
2022-10-31,0.42016168979482604,0.5105454590921452,0.44041017583685227,0.7114199579462508,0.5300810149037272,0.2906859802206303,0.4826204072889151
2022-11-30,0.4219242469984414,0.5105454590921452,0.6344304489857823,0.9792682716520619,0.8683125385274595,0.014960694625174131,0.5015243730297898
2022-12-31,0.42125141460270465,0.1938185972466795,0.8296036454941872,0.5022178880588608,0.4777139802058388,0.4413041575933745,0.18839234477200462
2023-01-31,0.6271967467532547,0.5688780496084843,0.3889233803709412,0.4328592788874184,0.496648787492898,0.1435461551326389,0.9903586990731836
2023-02-28,0.0,0.0,0.477838387780667,0.5061642648504595,0.42088536970867985,0.5479487010470221,0.5577091489491195
2023-03-31,0.05481531253141019,0.16565913907900537,0.19893666118517517,0.8448419648926535,0.0,0.18116642358486335,0.040143952788963544
2023-04-30,0.39315215323488834,0.5657294342116753,0.17171171076813174,0.7046420356547488,0.43182372993981843,0.8313503075376425,0.6145032155220349
2023-05-31,0.26203954178759536,0.7078104123126664,0.7802199690560786,0.4994719707570334,0.45161921637529634,0.2170203293226347,0.10747532405163418
2023-06-30,0.648232409689152,0.5590417898322768,0.9449281088521818,0.7487383981203425,1.0,0.3384524516094807,0.6550754469340871
2023-07-31,0.2925394215221704,0.483747861279628,0.5122662016911915,0.649275870222985,0.3939764946791806,0.6374511388775415,0.7705501604151546
2023-08-31,0.14578909603272447,0.4350967783693669,0.838082021832608,0.8575661346306586,0.5066891384274523,0.09916402869383267,0.15534209574370572
2023-09-30,0.9833015397915706,0.126221054061388,0.643631263205951,0.4582968075500955,0.42995292452623257,0.4831418399889702,0.7098711723684445
2023-10-31,0.49108022691195924,0.32524730536263063,0.643631263205951,0.4582968075500955,0.1711754669762211,0.7674230934193562,0.5387326933902585
2023-11-30,0.576434719535744,0.39324545656119336,0.643558432563261,0.5323685438369323,0.6986729160319767,0.0,0.665946706751283
2023-12-31,0.14216762867030402,0.7914043176975479,0.9999999999999999,0.2763199650656316,0.6094696771121422,0.47186570373551806,0.9999999999999998
