Date,GDP_Growth,Unemployment_Rate,Exchange_Rate,Interest_Rate,Money_Supply,Consumer_Confidence_Index,Inflation_Rate
2019-08-01,5.2483570765056164,4.760412881077355,14737.309584112914,5.312833673882503,6603.73963078365,91.71004989077927,3.259673257120586
2019-09-01,4.930867849414407,4.907170511668092,14227.183763561578,4.571421221791859,6942.63177926655,94.3981895980303,3.766369456501289
2019-10-01,5.323844269050346,4.446832512996986,14920.838293280829,4.4645537509694435,7252.493639490229,107.47293605123262,2.945619925771571
2019-11-01,5.761514928204012,4.401896687959665,14079.444681162317,5.241236207621593,7432.877597085061,106.10370265433465,3.2008558610494706
2019-12-01,4.882923312638332,5.406262911197099,14676.05712814008,4.888268607337075,6399.851796472112,99.79098406035853,3.345071995855556
2020-01-01,4.88293152152541,5.678120014285412,15157.136687742994,5.357000247046046,6832.749382079526,101.17327383308782,2.7993897640570817
2020-02-01,5.789606407753696,4.963994939209833,14202.839102460794,5.236618812286772,6762.527344419522,112.77664895788425,3.1120462409052085
2020-03-01,5.383717364576454,5.501766448946012,14330.110681119168,4.963585543671564,6673.335383713144,94.0842861116417,3.0062962003908975
2020-04-01,4.765262807032524,5.180818012523817,14529.895409526292,4.576603140965798,7882.727120140548,105.47097381170038,3.048838049274416
2020-05-01,5.2712800217929825,4.677440122697438,14348.95730376514,4.242576387657068,7202.490855480478,97.97807347566106,2.6134951080722666
2020-06-01,4.768291153593768,5.1806978027542065,14034.80097068016,4.776742523966489,6369.558022832477,97.82318796772779,3.0122550871294713
2020-07-01,4.767135123214872,5.769018283232985,14520.568892441808,5.428199397161736,7458.930973527388,110.9877685198719,3.248999145622725
2020-08-01,5.120981135783017,4.9820869804450245,14181.308885882168,5.107046872065102,8061.078098506317,108.2541634898803,3.725571803897521
2020-09-01,4.043359877671101,5.782321827907003,14642.077729190554,4.377130610644006,7516.232630275574,108.13509636000639,3.4796354130426033
